날짜,종가,시가,고가,저가,거래량,변동 %
1980-03-18,454.82,454.82,454.83,449.98,,1.08%
1980-03-19,449.98,449.98,450,448.12,,0.26%
1980-03-20,448.81,448.81,448.82,445.26,,0.80%
1980-03-21,445.26,445.26,445.64,444.41,,0.16%
1980-03-24,444.57,444.57,445.13,441.04,,0.79%
1980-03-25,441.09,441.09,441.14,436.94,,0.95%
1980-03-26,436.94,436.94,436.98,434.35,,0.60%
1980-03-27,434.35,434.35,436.07,431.7,,-0.39%
1980-03-28,436.03,436.03,444.04,434.89,,-1.76%
1980-03-31,443.84,443.84,448.1,441.67,,-0.82%
1980-04-01,447.49,447.49,451.13,446.8,,-0.81%
1980-04-02,451.14,451.14,451.49,450.04,,0.16%
1980-04-03,450.43,450.43,452.56,449.62,,-0.44%
1980-04-07,452.42,452.42,456.23,451.05,,-0.83%
1980-04-08,456.22,456.22,457.06,455.88,,-0.02%
1980-04-09,456.31,456.31,457.44,455.55,,-0.08%
1980-04-10,456.67,456.67,458.82,455.97,,-0.41%
1980-04-11,458.55,458.55,459.4,457.8,,0.06%
1980-04-14,458.28,458.28,458.31,456.61,,0.26%
1980-04-15,457.09,457.09,457.94,456.07,,0.22%
1980-04-16,456.09,456.09,456.68,454.89,,0.06%
1980-04-17,455.81,455.81,456.68,454.92,,-0.19%
1980-04-18,456.66,456.66,457.12,456.01,,0.11%
1980-04-21,456.17,456.17,457.78,455.7,,-0.10%
1980-04-22,456.63,456.63,456.73,455.14,,0.33%
1980-04-23,455.14,455.14,455.57,453.77,,0.22%
1980-04-24,454.14,454.14,456.11,453.01,,-0.34%
1980-04-25,455.71,455.71,457.83,453.94,,-0.22%
1980-04-28,456.71,456.71,457.06,454.73,,0.31%
1980-04-29,455.28,455.28,456.75,454.31,,-0.12%
1980-04-30,455.84,455.84,455.89,453.02,,0.40%
1980-05-01,454.03,454.03,456.53,453.08,,-0.42%
1980-05-02,455.94,455.94,456.91,454.76,,-0.05%
1980-05-05,456.19,456.19,456.41,454.07,,0.47%
1980-05-06,454.07,454.07,454.86,453.5,,0.00%
1980-05-07,454.05,454.05,454.55,449.39,,1.03%
1980-05-08,449.4,449.4,449.47,446.72,,0.31%
1980-05-09,448.01,448.01,453.08,447.96,,-1.09%
1980-05-12,452.97,452.97,454.07,452.04,,-0.04%
1980-05-13,453.14,453.14,456.62,452.2,,-0.77%
1980-05-14,456.64,456.64,457.35,455.56,,0.22%
1980-05-15,455.63,455.63,455.85,451.36,,0.94%
1980-05-16,451.37,451.37,454.34,450.83,,-0.31%
1980-05-19,452.76,452.76,458.58,451.75,,-1.18%
1980-05-20,458.15,458.15,462.88,458.07,,-1.02%
1980-05-21,462.89,462.89,464.28,461.7,,0.26%
1980-05-22,461.7,461.7,467.19,458.62,,-1.18%
1980-05-23,467.22,467.22,471.1,467.09,,-0.73%
1980-05-27,470.67,470.67,471.28,468.72,,-0.03%
1980-05-28,470.8,470.8,470.85,463.27,,1.62%
1980-05-29,463.28,463.28,463.3,457.8,,0.73%
1980-05-30,459.93,459.93,461.02,456.16,,-0.23%
1980-06-02,460.98,460.98,466.59,447,,-1.35%
1980-06-03,467.29,467.29,482.76,467.27,,-3.09%
1980-06-04,482.19,482.19,483.47,482.04,,0.01%
1980-06-05,482.16,482.16,484.23,480.65,,-0.41%
1980-06-06,484.14,484.14,487.6,483.19,,-0.33%
1980-06-09,485.73,485.73,485.77,482.69,,0.43%
1980-06-10,483.64,483.64,483.93,480.67,,0.62%
1980-06-11,480.66,480.66,481.5,478.52,,0.28%
1980-06-12,479.32,479.32,479.51,477.29,,0.43%
1980-06-13,477.28,477.28,477.3,474.99,,0.44%
1980-06-16,475.19,475.19,475.19,472.37,,0.48%
1980-06-17,472.92,472.92,473.28,471.1,,0.38%
1980-06-18,471.14,471.14,471.15,467.74,,0.72%
1980-06-19,467.77,467.77,467.88,464.83,,-0.01%
1980-06-20,467.84,467.84,468.39,466.64,,0.24%
1980-06-23,466.71,466.71,468.51,466.16,,-0.29%
1980-06-24,468.07,468.07,468.18,466.44,,0.23%
1980-06-25,467,467,468.43,466.43,,0.06%
1980-06-26,466.72,466.72,467.62,466.12,,-0.07%
1980-06-27,467.05,467.05,467.74,466.67,,0.03%
1980-06-30,466.89,466.89,467.6,465.94,,-0.15%
1980-07-01,467.57,467.57,470.14,467.11,,-0.26%
1980-07-02,468.78,468.78,471.86,468.71,,-0.65%
1980-07-03,471.83,471.83,474.56,471.67,,-0.01%
1980-07-07,471.86,471.86,472.12,470.34,,0.31%
1980-07-08,470.42,470.42,471.4,469.35,,-0.19%
1980-07-09,471.31,471.31,471.58,468.34,,0.35%
1980-07-10,469.68,469.68,470.67,469.27,,0.09%
1980-07-11,469.25,469.25,471.42,467.57,,-0.46%
1980-07-14,471.42,471.42,472.45,471.05,,0.02%
1980-07-15,471.34,471.34,471.55,469.34,,0.43%
1980-07-16,469.33,469.33,469.42,468.27,,0.23%
1980-07-17,468.27,468.27,468.54,466.54,,0.36%
1980-07-18,466.57,466.57,467.92,465.83,,-0.13%
1980-07-21,467.19,467.19,467.2,465.44,,0.09%
1980-07-22,466.75,466.75,467.18,465.8,,0.19%
