"날짜","종가","시가","고가","저가","거래량","변동 %"
"1989- 12- 29","454.82","454.82","454.83","449.98","","1.08%"
"1989- 12- 28","449.98","449.98","450.00","448.12","","0.26%"
"1989- 12- 27","448.81","448.81","448.82","445.26","","0.80%"
"1989- 12- 26","445.26","445.26","445.64","444.41","","0.16%"
"1989- 12- 22","444.57","444.57","445.13","441.04","","0.79%"
"1989- 12- 21","441.09","441.09","441.14","436.94","","0.95%"
"1989- 12- 20","436.94","436.94","436.98","434.35","","0.60%"
"1989- 12- 19","434.35","434.35","436.07","431.70","","-0.39%"
"1989- 12- 18","436.03","436.03","444.04","434.89","","-1.76%"
"1989- 12- 15","443.84","443.84","448.10","441.67","","-0.82%"
"1989- 12- 14","447.49","447.49","451.13","446.80","","-0.81%"
"1989- 12- 13","451.14","451.14","451.49","450.04","","0.16%"
"1989- 12- 12","450.43","450.43","452.56","449.62","","-0.44%"
"1989- 12- 11","452.42","452.42","456.23","451.05","","-0.83%"
"1989- 12- 08","456.22","456.22","457.06","455.88","","-0.02%"
"1989- 12- 07","456.31","456.31","457.44","455.55","","-0.08%"
"1989- 12- 06","456.67","456.67","458.82","455.97","","-0.41%"
"1989- 12- 05","458.55","458.55","459.40","457.80","","0.06%"
"1989- 12- 04","458.28","458.28","458.31","456.61","","0.26%"
"1989- 12- 01","457.09","457.09","457.94","456.07","","0.22%"
"1989- 11- 30","456.09","456.09","456.68","454.89","","0.06%"
"1989- 11- 29","455.81","455.81","456.68","454.92","","-0.19%"
"1989- 11- 28","456.66","456.66","457.12","456.01","","0.11%"
"1989- 11- 27","456.17","456.17","457.78","455.70","","-0.10%"
"1989- 11- 24","456.63","456.63","456.73","455.14","","0.33%"
"1989- 11- 22","455.14","455.14","455.57","453.77","","0.22%"
"1989- 11- 21","454.14","454.14","456.11","453.01","","-0.34%"
"1989- 11- 20","455.71","455.71","457.83","453.94","","-0.22%"
"1989- 11- 17","456.71","456.71","457.06","454.73","","0.31%"
"1989- 11- 16","455.28","455.28","456.75","454.31","","-0.12%"
"1989- 11- 15","455.84","455.84","455.89","453.02","","0.40%"
"1989- 11- 14","454.03","454.03","456.53","453.08","","-0.42%"
"1989- 11- 13","455.94","455.94","456.91","454.76","","-0.05%"
"1989- 11- 10","456.19","456.19","456.41","454.07","","0.47%"
"1989- 11- 09","454.07","454.07","454.86","453.50","","0.00%"
"1989- 11- 08","454.05","454.05","454.55","449.39","","1.03%"
"1989- 11- 07","449.40","449.40","449.47","446.72","","0.31%"
"1989- 11- 06","448.01","448.01","453.08","447.96","","-1.09%"
"1989- 11- 03","452.97","452.97","454.07","452.04","","-0.04%"
"1989- 11- 02","453.14","453.14","456.62","452.20","","-0.77%"
"1989- 11- 01","456.64","456.64","457.35","455.56","","0.22%"
"1989- 10- 31","455.63","455.63","455.85","451.36","","0.94%"
"1989- 10- 30","451.37","451.37","454.34","450.83","","-0.31%"
"1989- 10- 27","452.76","452.76","458.58","451.75","","-1.18%"
"1989- 10- 26","458.15","458.15","462.88","458.07","","-1.02%"
"1989- 10- 25","462.89","462.89","464.28","461.70","","0.26%"
"1989- 10- 24","461.70","461.70","467.19","458.62","","-1.18%"
"1989- 10- 23","467.22","467.22","471.10","467.09","","-0.73%"
"1989- 10- 20","470.67","470.67","471.28","468.72","","-0.03%"
"1989- 10- 19","470.80","470.80","470.85","463.27","","1.62%"
"1989- 10- 18","463.28","463.28","463.30","457.80","","0.73%"
"1989- 10- 17","459.93","459.93","461.02","456.16","","-0.23%"
"1989- 10- 16","460.98","460.98","466.59","447.00","","-1.35%"
"1989- 10- 13","467.29","467.29","482.76","467.27","","-3.09%"
"1989- 10- 12","482.19","482.19","483.47","482.04","","0.01%"
"1989- 10- 11","482.16","482.16","484.23","480.65","","-0.41%"
"1989- 10- 10","484.14","484.14","487.60","483.19","","-0.33%"
"1989- 10- 09","485.73","485.73","485.77","482.69","","0.43%"
"1989- 10- 06","483.64","483.64","483.93","480.67","","0.62%"
"1989- 10- 05","480.66","480.66","481.50","478.52","","0.28%"
"1989- 10- 04","479.32","479.32","479.51","477.29","","0.43%"
"1989- 10- 03","477.28","477.28","477.30","474.99","","0.44%"
