"날짜","종가","시가","고가","저가","거래량","변동 %"
"1999- 12- 31","4,069.31","4,056.99","4,082.37","4,032.33","","0.80%"
"1999- 12- 30","4,036.87","4,079.03","4,090.61","4,026.19","","-0.11%"
"1999- 12- 29","4,041.46","3,990.54","4,041.54","3,987.88","","1.75%"
"1999- 12- 28","3,972.11","3,977.88","4,022.51","3,943.04","","-0.08%"
"1999- 12- 27","3,975.38","4,001.90","4,001.90","3,902.35","","0.15%"
"1999- 12- 23","3,969.44","3,966.46","4,001.63","3,937.33","","0.82%"
"1999- 12- 22","3,937.30","3,935.49","3,948.48","3,878.06","","0.67%"
"1999- 12- 21","3,911.15","3,798.25","3,911.17","3,785.78","","3.36%"
"1999- 12- 20","3,783.87","3,782.06","3,801.93","3,747.79","","0.82%"
"1999- 12- 17","3,753.06","3,792.23","3,796.80","3,742.68","","1.02%"
"1999- 12- 16","3,715.06","3,669.23","3,715.25","3,666.23","","2.57%"
"1999- 12- 15","3,621.95","3,546.73","3,621.98","3,503.70","","1.41%"
"1999- 12- 14","3,571.66","3,669.21","3,669.85","3,571.26","","-2.36%"
"1999- 12- 13","3,658.17","3,624.67","3,668.16","3,597.98","","1.05%"
"1999- 12- 10","3,620.24","3,633.55","3,636.65","3,560.91","","0.73%"
"1999- 12- 09","3,594.17","3,643.57","3,647.55","3,514.91","","0.23%"
"1999- 12- 08","3,586.08","3,588.82","3,625.47","3,579.51","","-0.02%"
"1999- 12- 07","3,586.92","3,573.30","3,589.06","3,532.41","","1.15%"
"1999- 12- 06","3,546.01","3,531.24","3,570.91","3,507.30","","0.72%"
"1999- 12- 03","3,520.63","3,507.30","3,553.56","3,507.30","","1.97%"
"1999- 12- 02","3,452.78","3,371.85","3,452.78","3,371.85","","2.95%"
"1999- 12- 01","3,353.71","3,341.10","3,375.80","3,321.57","","0.53%"
"1999- 11- 30","3,336.16","3,424.61","3,424.61","3,326.53","","-2.49%"
"1999- 11- 29","3,421.37","3,458.13","3,468.32","3,421.36","","-0.77%"
"1999- 11- 26","3,447.81","3,455.14","3,469.35","3,444.13","","0.80%"
"1999- 11- 24","3,420.50","3,351.66","3,420.50","3,328.03","","2.32%"
"1999- 11- 23","3,342.87","3,408.68","3,411.23","3,320.67","","-1.46%"
"1999- 11- 22","3,392.56","3,399.06","3,400.23","3,357.68","","0.69%"
"1999- 11- 19","3,369.25","3,351.75","3,373.00","3,335.63","","0.66%"
"1999- 11- 18","3,347.11","3,301.49","3,347.11","3,288.68","","2.38%"
"1999- 11- 17","3,269.39","3,308.88","3,324.24","3,268.85","","-0.79%"
"1999- 11- 16","3,295.52","3,242.92","3,295.52","3,219.54","","2.36%"
"1999- 11- 15","3,219.54","3,230.26","3,236.35","3,214.58","","-0.05%"
"1999- 11- 12","3,221.15","3,220.98","3,222.99","3,124.77","","0.75%"
"1999- 11- 11","3,197.29","3,186.41","3,201.38","3,169.04","","1.31%"
"1999- 11- 10","3,155.96","3,126.09","3,186.57","3,122.04","","0.99%"
"1999- 11- 09","3,125.04","3,172.99","3,174.81","3,099.22","","-0.60%"
"1999- 11- 08","3,143.97","3,072.04","3,148.20","3,068.86","","1.34%"
"1999- 11- 05","3,102.29","3,100.13","3,118.06","3,081.46","","1.52%"
"1999- 11- 04","3,055.95","3,067.08","3,077.41","3,028.52","","0.91%"
"1999- 11- 03","3,028.51","3,021.53","3,040.94","3,011.94","","1.57%"
"1999- 11- 02","2,981.63","2,984.43","3,014.84","2,971.68","","0.47%"
"1999- 11- 01","2,967.65","2,970.93","2,997.90","2,967.63","","0.04%"
"1999- 10- 29","2,966.43","2,919.37","2,978.63","2,919.37","","3.17%"
"1999- 10- 28","2,875.22","2,832.81","2,875.48","2,830.08","","2.59%"
"1999- 10- 27","2,802.52","2,811.94","2,812.50","2,768.87","","-0.32%"
"1999- 10- 26","2,811.47","2,851.99","2,859.92","2,811.20","","-0.16%"
"1999- 10- 25","2,815.95","2,813.29","2,832.66","2,793.54","","-0.02%"
"1999- 10- 22","2,816.52","2,827.23","2,843.60","2,807.54","","0.52%"
"1999- 10- 21","2,801.95","2,727.74","2,805.07","2,724.74","","0.50%"
"1999- 10- 20","2,788.13","2,745.62","2,788.13","2,728.00","","3.72%"
"1999- 10- 19","2,688.18","2,725.57","2,729.30","2,674.90","","-0.04%"
"1999- 10- 18","2,689.15","2,726.30","2,730.49","2,632.01","","-1.56%"
"1999- 10- 15","2,731.83","2,748.10","2,763.04","2,704.28","","-2.67%"
"1999- 10- 14","2,806.84","2,816.02","2,821.69","2,766.46","","0.20%"
"1999- 10- 13","2,801.27","2,834.94","2,864.22","2,787.86","","-2.48%"
"1999- 10- 12","2,872.43","2,921.41","2,923.32","2,869.44","","-1.49%"
"1999- 10- 11","2,915.95","2,890.73","2,920.73","2,890.54","","1.02%"
"1999- 10- 08","2,886.57","2,861.72","2,886.59","2,825.86","","0.90%"
"1999- 10- 07","2,860.70","2,874.75","2,886.20","2,847.18","","0.12%"
"1999- 10- 06","2,857.21","2,822.60","2,857.43","2,822.60","","2.06%"
"1999- 10- 05","2,799.67","2,804.62","2,833.96","2,765.37","","0.13%"
"1999- 10- 04","2,795.97","2,751.54","2,795.99","2,747.69","","2.16%"
"1999- 10- 01","2,736.85","2,729.04","2,739.77","2,698.01","","-0.34%"
"1999- 09- 30","2,746.16","2,744.35","2,765.41","2,717.96","","0.58%"
"1999- 09- 29","2,730.27","2,759.97","2,772.43","2,728.90","","-0.94%"
"1999- 09- 28","2,756.25","2,752.24","2,763.75","2,694.74","","-0.20%"
"1999- 09- 27","2,761.75","2,781.42","2,794.16","2,758.96","","0.78%"
"1999- 09- 24","2,740.41","2,728.23","2,746.78","2,684.70","","-0.34%"
"1999- 09- 23","2,749.83","2,879.90","2,880.10","2,741.94","","-3.79%"
"1999- 09- 22","2,858.16","2,832.10","2,858.19","2,802.18","","1.31%"
"1999- 09- 21","2,821.10","2,863.56","2,863.56","2,819.69","","-2.25%"
"1999- 09- 20","2,886.15","2,877.53","2,890.72","2,858.79","","0.58%"
"1999- 09- 17","2,869.62","2,825.86","2,869.65","2,824.19","","2.24%"
"1999- 09- 16","2,806.72","2,820.84","2,820.84","2,756.03","","-0.26%"
"1999- 09- 15","2,814.17","2,887.23","2,888.83","2,813.25","","-1.89%"
"1999- 09- 14","2,868.29","2,843.53","2,870.26","2,837.93","","0.83%"
"1999- 09- 13","2,844.77","2,879.78","2,883.36","2,844.76","","-1.46%"
"1999- 09- 10","2,887.06","2,880.73","2,897.53","2,855.28","","1.23%"
